,Disease,Epidemiology,Clinical findings,Transmission,Agent,Incubation period,Diagnostic tests,tokenized,pos_tagged,synsets
55,leishmaniasis cutaneous mucosal old world,cases reported afghanistan algeria pakistan saudi arabia syria old world,mainly presents dry skin lesion covered crust lesions may persist months years,bite infected phlebotomine sandfly,leishmania species leishmania major l tropica l aethiopica,varies week several months,biopsy specimen microscopy pcr tests developed different leishmania species culture promastigotes special media,"['cases', 'reported', 'afghanistan', 'algeria', 'pakistan', 'saudi', 'arabia', 'syria', 'old', 'world']","[('cases', 'NNS'), ('reported', 'VBD'), ('afghanistan', 'JJ'), ('algeria', 'NN'), ('pakistan', 'NN'), ('saudi', 'NN'), ('arabia', 'NN'), ('syria', 'NNS'), ('old', 'JJ'), ('world', 'NN')]","[Synset('case.n.01'), Synset('report.v.01'), None, Synset('algeria.n.01'), Synset('pakistan.n.01'), Synset('saudi.n.01'), Synset('arabian_peninsula.n.01'), Synset('syria.n.01'), Synset('old.a.01'), Synset('universe.n.01')]"
56,leishmaniasis visceral,approximately 90 vl cases occur rural suburban areas five countries bangladesh india nepal sudan brazil,common symptoms include fever malaise weight loss sweats cough may prominent bacterial coinfections including tuberculosis may occur,bite infective female sandfly,parasite kinetoplastida leishmania donovani subspecies donovani infantum l chagasi,usually 2–6 months range 10 days years,identification intracellular amastigotes stained smears blood bone marrow spleen liver lymph nodes,"['approximately', '90', 'vl', 'cases', 'occur', 'rural', 'suburban', 'areas', 'five', 'countries', 'bangladesh', 'india', 'nepal', 'sudan', 'brazil']","[('approximately', 'RB'), ('90', 'CD'), ('vl', 'JJ'), ('cases', 'NNS'), ('occur', 'VBP'), ('rural', 'JJ'), ('suburban', 'NN'), ('areas', 'NNS'), ('five', 'CD'), ('countries', 'NNS'), ('bangladesh', 'VBP'), ('india', 'JJ'), ('nepal', 'JJ'), ('sudan', 'NN'), ('brazil', 'NN')]","[Synset('approximately.r.01'), None, None, Synset('case.n.01'), Synset('happen.v.01'), Synset('rural.a.01'), None, Synset('area.n.01'), None, Synset('state.n.04'), None, None, None, Synset('sudan.n.01'), Synset('brazil.n.01')]"
57,loiasis,loiasis occurs areas chrysops vectors breed tropical rainforest central africa estimated 12–13 million humans infected,typical finding transient subcutaneous swellings calabar swellings angiedemas giant urticaria arthritis fever,infective larvae migrate mouth part fly bite onto skin subsequently enter wound,filarial nematode roundworm loa loa,4 months several years,microscopy stained thick blood smears taken around noon membrane filtration pcr,"['loiasis', 'occurs', 'areas', 'chrysops', 'vectors', 'breed', 'tropical', 'rainforest', 'central', 'africa', 'estimated', '12–13', 'million', 'humans', 'infected']","[('loiasis', 'NN'), ('occurs', 'VBZ'), ('areas', 'NNS'), ('chrysops', 'VBP'), ('vectors', 'NNS'), ('breed', 'VBP'), ('tropical', 'JJ'), ('rainforest', 'JJ'), ('central', 'JJ'), ('africa', 'NN'), ('estimated', 'VBD'), ('12–13', 'CD'), ('million', 'CD'), ('humans', 'NNS'), ('infected', 'JJ')]","[None, Synset('happen.v.01'), Synset('area.n.01'), None, Synset('vector.n.01'), Synset('engender.v.01'), Synset('tropical.s.01'), None, Synset('cardinal.s.01'), Synset('africa.n.01'), Synset('estimate.v.01'), None, None, Synset('world.n.08'), Synset('septic.a.01')]"
58,malaria plasmodium falciparum,p falciparum malaria causes approximately 500 million cases year around one million deaths subsaharan africa high endemicity common widespread african region ranking countries possibility elimination shows feasible americas several countries asia west pacific,uncomplicated malaria acute febrile illness headache chills sweats nausea vomiting hepatosplenomegaly,mosquito bite anopheles spp,plasmodium falciparum,7 15 days longer,light microscopy giemsa stained rapid diagnostic tests rdts pcr,"['p', 'falciparum', 'malaria', 'causes', 'approximately', '500', 'million', 'cases', 'year', 'around', 'one', 'million', 'deaths', 'subsaharan', 'africa', 'high', 'endemicity', 'common', 'widespread', 'african', 'region', 'ranking', 'countries', 'possibility', 'elimination', 'shows', 'feasible', 'americas', 'several', 'countries', 'asia', 'west', 'pacific']","[('p', 'NN'), ('falciparum', 'NN'), ('malaria', 'NN'), ('causes', 'VBZ'), ('approximately', 'RB'), ('500', 'CD'), ('million', 'CD'), ('cases', 'NNS'), ('year', 'NN'), ('around', 'IN'), ('one', 'CD'), ('million', 'CD'), ('deaths', 'NNS'), ('subsaharan', 'VBD'), ('africa', 'RB'), ('high', 'JJ'), ('endemicity', 'NN'), ('common', 'JJ'), ('widespread', 'JJ'), ('african', 'JJ'), ('region', 'NN'), ('ranking', 'VBG'), ('countries', 'NNS'), ('possibility', 'NN'), ('elimination', 'NN'), ('shows', 'VBZ'), ('feasible', 'JJ'), ('americas', 'JJ'), ('several', 'JJ'), ('countries', 'NNS'), ('asia', 'VBP'), ('west', 'JJS'), ('pacific', 'NN')]","[Synset('phosphorus.n.01'), None, Synset('malaria.n.01'), Synset('cause.v.01'), Synset('approximately.r.01'), None, None, Synset('case.n.01'), Synset('year.n.01'), None, None, None, Synset('death.n.01'), None, None, Synset('high.a.01'), None, Synset('common.a.01'), Synset('widespread.s.01'), Synset('african.a.01'), Synset('region.n.01'), Synset('rank.v.01'), Synset('state.n.04'), Synset('possibility.n.01'), Synset('elimination.n.01'), Synset('show.v.01'), Synset('feasible.s.01'), None, Synset('several.s.01'), Synset('state.n.04'), None, Synset('west.a.01'), Synset('pacific.n.01')]"
59,malaria plasmodium knowlesi,p knowlesi malaria widely distributed across sarawak sabah malaysian borneo extends state pahang peninsular malaysia pknowlesi malaria cases also acquired thailand myanmar singapore philippines,headache fever chills abdominal pain renal impairment jaundice thrombocytopenia may occur,mosquito bite,plasmodium knowlesi,12 days,p malariae malaria almost invariably mild species confirmed pcr needed,"['p', 'knowlesi', 'malaria', 'widely', 'distributed', 'across', 'sarawak', 'sabah', 'malaysian', 'borneo', 'extends', 'state', 'pahang', 'peninsular', 'malaysia', 'pknowlesi', 'malaria', 'cases', 'also', 'acquired', 'thailand', 'myanmar', 'singapore', 'philippines']","[('p', 'NN'), ('knowlesi', 'NN'), ('malaria', 'NN'), ('widely', 'RB'), ('distributed', 'VBN'), ('across', 'IN'), ('sarawak', 'NN'), ('sabah', 'NN'), ('malaysian', 'JJ'), ('borneo', 'NN'), ('extends', 'VBZ'), ('state', 'NN'), ('pahang', 'NN'), ('peninsular', 'JJ'), ('malaysia', 'NN'), ('pknowlesi', 'NN'), ('malaria', 'NN'), ('cases', 'NNS'), ('also', 'RB'), ('acquired', 'VBD'), ('thailand', 'NN'), ('myanmar', 'NN'), ('singapore', 'NN'), ('philippines', 'NNS')]","[Synset('phosphorus.n.01'), None, Synset('malaria.n.01'), Synset('widely.r.01'), Synset('distribute.v.01'), None, Synset('sarawak.n.01'), Synset('sabah.n.01'), Synset('malaysian.a.01'), Synset('borneo.n.01'), Synset('widen.v.04'), Synset('state.n.01'), None, Synset('peninsular.a.01'), Synset('malaysia.n.01'), None, Synset('malaria.n.01'), Synset('case.n.01'), Synset('besides.r.02'), Synset('get.v.01'), Synset('thailand.n.01'), Synset('myanmar.n.01'), Synset('singapore.n.01'), Synset('philippines.n.01')]"
60,malaria plasmodium ovale,p ovale initally thought limited subsaharan africa papua new guinea eastern indonesia philippines actually widely distributed reported middle east indian subcontinent various parts southeast asia,acute febrile illness chills sweats nausea headache vomiting,mosquito bite anopheles spp,plasmodium ovale,12 20 days several months,microscopy giemsastained blood film pcr,"['p', 'ovale', 'initally', 'thought', 'limited', 'subsaharan', 'africa', 'papua', 'new', 'guinea', 'eastern', 'indonesia', 'philippines', 'actually', 'widely', 'distributed', 'reported', 'middle', 'east', 'indian', 'subcontinent', 'various', 'parts', 'southeast', 'asia']","[('p', 'JJ'), ('ovale', 'NN'), ('initally', 'RB'), ('thought', 'VBD'), ('limited', 'JJ'), ('subsaharan', 'NN'), ('africa', 'NN'), ('papua', 'VBP'), ('new', 'JJ'), ('guinea', 'NN'), ('eastern', 'JJ'), ('indonesia', 'NN'), ('philippines', 'NNS'), ('actually', 'RB'), ('widely', 'RB'), ('distributed', 'VBN'), ('reported', 'VBD'), ('middle', 'JJ'), ('east', 'JJ'), ('indian', 'JJ'), ('subcontinent', 'NN'), ('various', 'JJ'), ('parts', 'NNS'), ('southeast', 'VBD'), ('asia', 'NN')]","[None, None, None, Synset('think.v.01'), Synset('limited.a.01'), None, Synset('africa.n.01'), None, Synset('new.a.01'), Synset('guinea.n.01'), Synset('eastern.s.01'), Synset('indonesia.n.01'), Synset('philippines.n.01'), Synset('actually.r.01'), Synset('widely.r.01'), Synset('distribute.v.01'), Synset('report.v.01'), Synset('in-between.s.01'), Synset('east.a.01'), Synset('indian.a.01'), Synset('subcontinent.n.01'), Synset('assorted.s.02'), Synset('parts.n.01'), None, Synset('asia.n.01')]"
61,malaria plasmodium vivax,outside africa dominant species mainly asia disease burden greatest infants 2010 autochtonous pvivax case diagnosed north eastern spain,acute febrile illness chills sweats nausea headache vomiting p vivax lead severe anemia acute respiratory distress liver failure renal failure even cerebral malaria,mosquito bite anopheles spp,plasmodium vivax,12 days several months,microscopy rapid diagnostic tests rdts pcr,"['outside', 'africa', 'dominant', 'species', 'mainly', 'asia', 'disease', 'burden', 'greatest', 'infants', '2010', 'autochtonous', 'pvivax', 'case', 'diagnosed', 'north', 'eastern', 'spain']","[('outside', 'JJ'), ('africa', 'NN'), ('dominant', 'JJ'), ('species', 'NNS'), ('mainly', 'RB'), ('asia', 'VBP'), ('disease', 'NN'), ('burden', 'NN'), ('greatest', 'JJS'), ('infants', 'NNS'), ('2010', 'CD'), ('autochtonous', 'JJ'), ('pvivax', 'NN'), ('case', 'NN'), ('diagnosed', 'VBD'), ('north', 'JJ'), ('eastern', 'JJ'), ('spain', 'NN')]","[Synset('outside.a.01'), Synset('africa.n.01'), Synset('dominant.a.01'), Synset('species.n.01'), Synset('chiefly.r.01'), None, Synset('disease.n.01'), Synset('burden.n.01'), Synset('greatest.s.01'), Synset('baby.n.01'), None, None, None, Synset('case.n.01'), Synset('diagnose.v.01'), Synset('north.a.01'), Synset('eastern.s.01'), Synset('spain.n.01')]"
62,onchocerciasis,estimated 37 million people infected worldwide 97 africa remaining small foci central south america yemen onchocerciasis imported latin america slave trade,fibrous subcutaneous nodules head shoulders americas pelvic girdle legs africa pruritic rash disfiguring skin lesions skin depigmentation leopard skin edema skin atrophy blindness growth arrest epilepsy,bite vector,onchocerca volvulus,takes 10 months l3 develop adults 12–18 months microfilariae found skin,microscopy fresh skin snips detect microfilariae nodule palpation,"['estimated', '37', 'million', 'people', 'infected', 'worldwide', '97', 'africa', 'remaining', 'small', 'foci', 'central', 'south', 'america', 'yemen', 'onchocerciasis', 'imported', 'latin', 'america', 'slave', 'trade']","[('estimated', 'VBN'), ('37', 'CD'), ('million', 'CD'), ('people', 'NNS'), ('infected', 'JJ'), ('worldwide', 'IN'), ('97', 'CD'), ('africa', 'NNS'), ('remaining', 'VBG'), ('small', 'JJ'), ('foci', 'JJ'), ('central', 'JJ'), ('south', 'NN'), ('america', 'JJ'), ('yemen', 'NNS'), ('onchocerciasis', 'RB'), ('imported', 'VBN'), ('latin', 'NN'), ('america', 'NN'), ('slave', 'VBP'), ('trade', 'NN')]","[Synset('estimate.v.01'), None, None, Synset('people.n.01'), Synset('septic.a.01'), None, None, Synset('africa.n.01'), Synset('stay.v.01'), Synset('small.a.01'), None, Synset('cardinal.s.01'), Synset('south.n.01'), None, Synset('yemen.n.01'), None, Synset('import.v.01'), Synset('latin.n.01'), Synset('united_states.n.01'), Synset('slave.v.01'), Synset('trade.n.01')]"
63,opisthorchiasis,foodborne trematodiasis focal occurs areas snail freshwater fish – consumed raw undercooked – coexist viverrini common southeast asia mekong region 8 million infected thailand 2 million laos,viverrini usually asymptomatic occasionally abdominal pain flatulence fatigue mild hepatomegaly jaundice cholangitis felineus fever hepatitislike symptoms acute stage chronic symptoms biliary tract obstruction inflammation fibrosis biliary tracts liver abscesses pancreatitis suppurative cholangsitis,consumption raw undercooked dried salted pickled freshwater fish,opisthorchis felineus europe northern asia viverrini southeast asia,acute disease usually 3 4 weeks chronic disease several years,microscopy eggs stool smear kato–katz technique,"['foodborne', 'trematodiasis', 'focal', 'occurs', 'areas', 'snail', 'freshwater', 'fish', '–', 'consumed', 'raw', 'undercooked', '–', 'coexist', 'viverrini', 'common', 'southeast', 'asia', 'mekong', 'region', '8', 'million', 'infected', 'thailand', '2', 'million', 'laos']","[('foodborne', 'JJ'), ('trematodiasis', 'NN'), ('focal', 'JJ'), ('occurs', 'NNS'), ('areas', 'NNS'), ('snail', 'VBP'), ('freshwater', 'NN'), ('fish', 'JJ'), ('–', 'NN'), ('consumed', 'VBD'), ('raw', 'JJ'), ('undercooked', 'JJ'), ('–', 'JJ'), ('coexist', 'NN'), ('viverrini', 'NN'), ('common', 'JJ'), ('southeast', 'NN'), ('asia', 'NN'), ('mekong', 'JJ'), ('region', 'NN'), ('8', 'CD'), ('million', 'CD'), ('infected', 'JJ'), ('thailand', 'NN'), ('2', 'CD'), ('million', 'CD'), ('laos', 'NN')]","[None, None, Synset('focal.s.01'), None, Synset('area.n.01'), Synset('snail.v.01'), Synset('fresh_water.n.01'), None, None, Synset('devour.v.03'), Synset('natural.s.07'), None, None, None, None, Synset('common.a.01'), Synset('southeast.n.01'), Synset('asia.n.01'), None, Synset('region.n.01'), None, None, Synset('septic.a.01'), Synset('thailand.n.01'), None, None, Synset('laos.n.01')]"
64,paragonimiasis,major endemic area china estimated 20 million people infected followed india laos myanmar americas ecuador estimated 15 million cases 2010 9 autochthonous cases paragonimiasis reported north america,fever cough hemoptysis pleuritic chest pain meningitis intracranial hemorrhage epilepsy paralysis,consumption infected raw salted marinated pickled undercooked freshwater crabs crayfish infected humans excrete worm eggs sputum feces 20 years,paragonimus trematode flatworms,humans incubation long highly variable,microscopic examination sputum eggs examination feces using concentration techniques elisa serology,"['major', 'endemic', 'area', 'china', 'estimated', '20', 'million', 'people', 'infected', 'followed', 'india', 'laos', 'myanmar', 'americas', 'ecuador', 'estimated', '15', 'million', 'cases', '2010', '9', 'autochthonous', 'cases', 'paragonimiasis', 'reported', 'north', 'america']","[('major', 'JJ'), ('endemic', 'JJ'), ('area', 'NN'), ('china', 'NN'), ('estimated', 'VBD'), ('20', 'CD'), ('million', 'CD'), ('people', 'NNS'), ('infected', 'JJ'), ('followed', 'VBD'), ('india', 'JJ'), ('laos', 'NN'), ('myanmar', 'NN'), ('americas', 'NN'), ('ecuador', 'NN'), ('estimated', 'VBD'), ('15', 'CD'), ('million', 'CD'), ('cases', 'NNS'), ('2010', 'CD'), ('9', 'CD'), ('autochthonous', 'JJ'), ('cases', 'NNS'), ('paragonimiasis', 'NN'), ('reported', 'VBD'), ('north', 'JJ'), ('america', 'NN')]","[Synset('major.a.01'), Synset('endemic.a.01'), Synset('area.n.01'), Synset('china.n.01'), Synset('estimate.v.01'), None, None, Synset('people.n.01'), Synset('septic.a.01'), Synset('follow.v.01'), None, Synset('laos.n.01'), Synset('myanmar.n.01'), Synset('united_states.n.01'), Synset('ecuador.n.01'), Synset('estimate.v.01'), None, None, Synset('case.n.01'), None, None, Synset('autochthonous.a.01'), Synset('case.n.01'), None, Synset('report.v.01'), Synset('north.a.01'), Synset('united_states.n.01')]"
65,schistosomiasis africa americas,estimated 207 million people infected world wide 85 africa higher disease prevalence rates endemic regions found close irrigation projects dams,katayama syndrome acute form schistosomiasis caused host immune response developing larvae early egg production presents nocturnal fever cough myalgia headache abdominal pain,contact freshwater bodies containing cercariae penetrate skin mucous membranes drinking contaminated water uncommon,trematode worms schistosoma mansoni haematobium intercalatum guineensis,usually 14–84 days acute schistosomiasis katayama syndrome,microscopy quantification eggs stool kato–katz method pcr,"['estimated', '207', 'million', 'people', 'infected', 'world', 'wide', '85', 'africa', 'higher', 'disease', 'prevalence', 'rates', 'endemic', 'regions', 'found', 'close', 'irrigation', 'projects', 'dams']","[('estimated', 'VBN'), ('207', 'CD'), ('million', 'CD'), ('people', 'NNS'), ('infected', 'JJ'), ('world', 'NN'), ('wide', 'JJ'), ('85', 'CD'), ('africa', 'NN'), ('higher', 'JJR'), ('disease', 'NN'), ('prevalence', 'NN'), ('rates', 'NNS'), ('endemic', 'JJ'), ('regions', 'NNS'), ('found', 'VBD'), ('close', 'JJ'), ('irrigation', 'NN'), ('projects', 'NNS'), ('dams', 'VBP')]","[Synset('estimate.v.01'), None, None, Synset('people.n.01'), Synset('septic.a.01'), Synset('universe.n.01'), Synset('wide.a.01'), None, Synset('africa.n.01'), Synset('higher.s.01'), Synset('disease.n.01'), Synset('prevalence.n.01'), Synset('rates.n.01'), Synset('endemic.a.01'), Synset('region.n.01'), Synset('establish.v.01'), Synset('close.a.01'), Synset('irrigation.n.01'), Synset('undertaking.n.01'), Synset('dam.v.01')]"
66,schistosomiasis asia,approximately 1 million people infected schistosoma spp cambodia china lao pdr philippines higher disease prevalence rates endemic regions found close large irrigation projects dams,japonicum causes intestinal schistosomiasis diarrhea abdominal pain blood stool hepatosplenomegaly chronic infection leads liver fibrosis portal hypertension anemia altered growth cognitive development infected children seizures due egg granulomas brain spinal cord,contact freshwater bodies containing cercariae penetrate skin mucous membranes drinking contaminated water,trematode worms schistosoma japonicum malayensis mekongi,usually 14–84 days acute schistosomiasis,microscopy eggs stool samples quantification eggs kato–katz method pcr,"['approximately', '1', 'million', 'people', 'infected', 'schistosoma', 'spp', 'cambodia', 'china', 'lao', 'pdr', 'philippines', 'higher', 'disease', 'prevalence', 'rates', 'endemic', 'regions', 'found', 'close', 'large', 'irrigation', 'projects', 'dams']","[('approximately', 'RB'), ('1', 'CD'), ('million', 'CD'), ('people', 'NNS'), ('infected', 'JJ'), ('schistosoma', 'JJ'), ('spp', 'NN'), ('cambodia', 'NN'), ('china', 'NN'), ('lao', 'NN'), ('pdr', 'NN'), ('philippines', 'VBZ'), ('higher', 'JJR'), ('disease', 'NN'), ('prevalence', 'NN'), ('rates', 'NNS'), ('endemic', 'JJ'), ('regions', 'NNS'), ('found', 'VBD'), ('close', 'RB'), ('large', 'JJ'), ('irrigation', 'NN'), ('projects', 'NNS'), ('dams', 'VBP')]","[Synset('approximately.r.01'), None, None, Synset('people.n.01'), Synset('septic.a.01'), None, None, Synset('cambodia.n.01'), Synset('china.n.01'), Synset('lao.n.01'), None, None, Synset('higher.s.01'), Synset('disease.n.01'), Synset('prevalence.n.01'), Synset('rates.n.01'), Synset('endemic.a.01'), Synset('region.n.01'), Synset('establish.v.01'), Synset('near.r.01'), Synset('large.a.01'), Synset('irrigation.n.01'), Synset('undertaking.n.01'), Synset('dam.v.01')]"
67,strongyloidiasis,cases found tropical subtropical areas warm moist rarely found foci north america europe interestingly hyperinfection commonly seen hivinfected individuals endemic countries,infections stercoralis asymptomatic symptoms may include upper abdominal pain cough diarrhea red painful creeping urticarial eruption skin vomiting pulmonary symptoms,mainly skin contact fecally contaminated soil oral transmission cannot excluded,strongyloides stercoralis,indefinite variable skin penetration larvae stool takes 2–4 weeks,demonstration strongyloides larvae repeated stool specimens microscopy serological tests pcr higher sensitivity microscopy,"['cases', 'found', 'tropical', 'subtropical', 'areas', 'warm', 'moist', 'rarely', 'found', 'foci', 'north', 'america', 'europe', 'interestingly', 'hyperinfection', 'commonly', 'seen', 'hivinfected', 'individuals', 'endemic', 'countries']","[('cases', 'NNS'), ('found', 'VBD'), ('tropical', 'JJ'), ('subtropical', 'JJ'), ('areas', 'NNS'), ('warm', 'JJ'), ('moist', 'NN'), ('rarely', 'RB'), ('found', 'VBD'), ('foci', 'JJ'), ('north', 'JJ'), ('america', 'IN'), ('europe', 'NN'), ('interestingly', 'RB'), ('hyperinfection', 'NN'), ('commonly', 'RB'), ('seen', 'VBN'), ('hivinfected', 'VBN'), ('individuals', 'NNS'), ('endemic', 'JJ'), ('countries', 'NNS')]","[Synset('case.n.01'), Synset('establish.v.01'), Synset('tropical.s.01'), Synset('subtropical.a.01'), Synset('area.n.01'), Synset('warm.a.01'), None, Synset('rarely.r.01'), Synset('establish.v.01'), None, Synset('north.a.01'), None, Synset('europe.n.01'), Synset('interestingly.r.01'), None, Synset('normally.r.01'), Synset('see.v.01'), None, Synset('person.n.01'), Synset('endemic.a.01'), Synset('state.n.04')]"
68,trypanosomiasis african,estimates 50000 70000 people infected year 60 million people risk 36 countries disease poverty mainly occurs remote rural areas,papule bite site develops painful chancre mainly tb rhodesiense fever severe headache lympadenopathy insomnia progresses variable neurological symptoms,tsetse fly bite day biters blood transfusion congenital,extracellular unicellular hemoflagellate trypanosoma brucei,3 days weeks b rhodesiense several months years b gambiense,detection trypanosomes blood lymph csf concentration igm elisa ifa pcr,"['estimates', '50000', '70000', 'people', 'infected', 'year', '60', 'million', 'people', 'risk', '36', 'countries', 'disease', 'poverty', 'mainly', 'occurs', 'remote', 'rural', 'areas']","[('estimates', 'NNS'), ('50000', 'CD'), ('70000', 'CD'), ('people', 'NNS'), ('infected', 'JJ'), ('year', 'NN'), ('60', 'CD'), ('million', 'CD'), ('people', 'NNS'), ('risk', 'VBP'), ('36', 'CD'), ('countries', 'NNS'), ('disease', 'VBP'), ('poverty', 'NN'), ('mainly', 'RB'), ('occurs', 'VBZ'), ('remote', 'JJ'), ('rural', 'JJ'), ('areas', 'NNS')]","[Synset('estimate.n.01'), None, None, Synset('people.n.01'), Synset('septic.a.01'), Synset('year.n.01'), None, None, Synset('people.n.01'), Synset('risk.v.01'), None, Synset('state.n.04'), None, Synset('poverty.n.01'), Synset('chiefly.r.01'), Synset('happen.v.01'), Synset('distant.s.05'), Synset('rural.a.01'), Synset('area.n.01')]"
69,trypanosomiasis american,estimated 76 million people infected cruzi 75 million risk mexico central south america determined range vector,infections produce symptoms acute symptoms include variable fever lymphadenopathymalaise hepatosplenomegaly,vector defecates feeding infected feces rubbed bite wound conjunctivae mucousmembranes abraded skin,trypanosoma cruzi,5–14 days infected bite 30–40 days infected blood transfusion,direct examination blood smear low sensitivity pcr serology indirect immunofluorescence indirect hemagglutination,"['estimated', '76', 'million', 'people', 'infected', 'cruzi', '75', 'million', 'risk', 'mexico', 'central', 'south', 'america', 'determined', 'range', 'vector']","[('estimated', 'VBN'), ('76', 'CD'), ('million', 'CD'), ('people', 'NNS'), ('infected', 'JJ'), ('cruzi', 'JJ'), ('75', 'CD'), ('million', 'CD'), ('risk', 'NN'), ('mexico', 'JJ'), ('central', 'JJ'), ('south', 'NN'), ('america', 'NN'), ('determined', 'VBD'), ('range', 'NN'), ('vector', 'NN')]","[Synset('estimate.v.01'), None, None, Synset('people.n.01'), Synset('septic.a.01'), None, None, None, Synset('hazard.n.01'), None, Synset('cardinal.s.01'), Synset('south.n.01'), Synset('united_states.n.01'), Synset('determine.v.01'), Synset('scope.n.01'), Synset('vector.n.01')]"
70,avian influenza ah5n1,since end 2003 ah5n1 virus spread globally infecting poultry 60 countries causing loss 250 million poultry 500 human cases detected 15 countries,sudden onset fever cough early symptoms include myalgia headache vomiting diarrhea nausea epigastric pain,direct contact sick dead poultry common infected hpai possibly via inhalation virusladen particles contact contaminated material eyes respiratory mucosa,influenza subtype h5n1 rna virus family orthomyxoviridae,3 days range 2–9 days,virus detection rtpcr respiratory specimens recommended virus culture requires bsl3 facility rapid antigen tests recommended due lack sensitivity,"['since', 'end', '2003', 'ah5n1', 'virus', 'spread', 'globally', 'infecting', 'poultry', '60', 'countries', 'causing', 'loss', '250', 'million', 'poultry', '500', 'human', 'cases', 'detected', '15', 'countries']","[('since', 'IN'), ('end', 'NN'), ('2003', 'CD'), ('ah5n1', 'NN'), ('virus', 'NN'), ('spread', 'NN'), ('globally', 'RB'), ('infecting', 'VBG'), ('poultry', 'NN'), ('60', 'CD'), ('countries', 'NNS'), ('causing', 'VBG'), ('loss', 'NN'), ('250', 'CD'), ('million', 'CD'), ('poultry', 'NN'), ('500', 'CD'), ('human', 'JJ'), ('cases', 'NNS'), ('detected', 'VBD'), ('15', 'CD'), ('countries', 'NNS')]","[None, Synset('end.n.01'), None, None, Synset('virus.n.01'), Synset('spread.n.01'), Synset('globally.r.01'), Synset('infect.v.01'), Synset('domestic_fowl.n.01'), None, Synset('state.n.04'), Synset('cause.v.01'), Synset('loss.n.01'), None, None, Synset('domestic_fowl.n.01'), None, Synset('human.a.01'), Synset('case.n.01'), Synset('detect.v.01'), None, Synset('state.n.04')]"
71,barmah forest ross river virus disease,peak incidence 30–40 year age group disease rare children rrv disease common arboviral disease aus tralia accounting 90 cases often occurring mixed epidemics bfv disease,selflimiting disease sudden onset joint pain fatigue marked arthralgia myalgia 40 stiff swollen joints 60–85 cases anorexia headache back pain photophobia sore throat lethargy lymphadenopathy also occur fever maculopapular rash,mosquito bite transovarial transmission demonstrated,barmah forest virus bfv ross river virus rrv enveloped rna viruses genus alphavirus family togaviridae,3–12 days usually 7–9,viral rna dection blood rtpcr serology igm elisa fourfold increasein igg,"['peak', 'incidence', '30–40', 'year', 'age', 'group', 'disease', 'rare', 'children', 'rrv', 'disease', 'common', 'arboviral', 'disease', 'aus', 'tralia', 'accounting', '90', 'cases', 'often', 'occurring', 'mixed', 'epidemics', 'bfv', 'disease']","[('peak', 'JJ'), ('incidence', 'NN'), ('30–40', 'CD'), ('year', 'NN'), ('age', 'NN'), ('group', 'NN'), ('disease', 'NN'), ('rare', 'JJ'), ('children', 'NNS'), ('rrv', 'JJ'), ('disease', 'NN'), ('common', 'JJ'), ('arboviral', 'JJ'), ('disease', 'NN'), ('aus', 'NN'), ('tralia', 'VBD'), ('accounting', 'VBG'), ('90', 'CD'), ('cases', 'NNS'), ('often', 'RB'), ('occurring', 'VBG'), ('mixed', 'JJ'), ('epidemics', 'NNS'), ('bfv', 'JJ'), ('disease', 'NN')]","[None, Synset('incidence.n.01'), None, Synset('year.n.01'), Synset('age.n.01'), Synset('group.n.01'), Synset('disease.n.01'), Synset('rare.s.01'), Synset('child.n.01'), None, Synset('disease.n.01'), Synset('common.a.01'), None, Synset('disease.n.01'), Synset('gold.n.03'), None, Synset('account.v.01'), None, Synset('case.n.01'), Synset('frequently.r.01'), Synset('happen.v.01'), Synset('assorted.s.01'), Synset('epidemic.n.01'), None, Synset('disease.n.01')]"
72,bunyamwera viral fever,african bunyamwera viruses known cause human disease circulate subsaharan africa virus transmission peaks rainy season mosquitoes abundant bunv particularly active riverine forests nigeria car,sudden onset fever frontal headache backache diarrhea rash,mosquito bite,bunyamwera group viruses enveloped singlestranded rna viruses genus orthobunyavirus family bunyaviridae,estimated less 2 weeks,several serologic tests available,"['african', 'bunyamwera', 'viruses', 'known', 'cause', 'human', 'disease', 'circulate', 'subsaharan', 'africa', 'virus', 'transmission', 'peaks', 'rainy', 'season', 'mosquitoes', 'abundant', 'bunv', 'particularly', 'active', 'riverine', 'forests', 'nigeria', 'car']","[('african', 'JJ'), ('bunyamwera', 'NN'), ('viruses', 'NNS'), ('known', 'VBN'), ('cause', 'NN'), ('human', 'JJ'), ('disease', 'NN'), ('circulate', 'NN'), ('subsaharan', 'NN'), ('africa', 'NN'), ('virus', 'NN'), ('transmission', 'NN'), ('peaks', 'NNS'), ('rainy', 'VBP'), ('season', 'NN'), ('mosquitoes', 'NNS'), ('abundant', 'JJ'), ('bunv', 'VBD'), ('particularly', 'RB'), ('active', 'JJ'), ('riverine', 'NN'), ('forests', 'NNS'), ('nigeria', 'VBP'), ('car', 'NN')]","[Synset('african.a.01'), None, Synset('virus.n.01'), Synset('know.v.01'), Synset('cause.n.01'), Synset('human.a.01'), Synset('disease.n.01'), None, None, Synset('africa.n.01'), Synset('virus.n.01'), Synset('transmission.n.01'), Synset('extremum.n.02'), None, Synset('season.n.01'), Synset('mosquito.n.01'), Synset('abundant.a.01'), None, Synset('particularly.r.01'), Synset('active.a.01'), None, Synset('forest.n.01'), None, Synset('car.n.01')]"
